S1,ISBN1,Book1,1741534474,1741534541,67,555
S1,ISBN9,Book9,1741534562,1741534769,207,500
S2,ISBN9,Book9,1741534804,1741535042,238,52656
F1,ISBN5,Book5,1741534869,1741534948,79,0
F1,ISBN1,Book1,1741534963,1741535142,179,0
F2,ISBN2,Book2,1741535081,1741535554,473,0
F1,ISBN9,Book9,1741535247,1741535276,29,0
F1,ISBN2,Book2,1741535592,1741535599,7,0
S1,ISBN1,Book1,1741537924,1741537962,38,500
F1,ISBN1,Book1,1741538014,1741538019,5,0
S1,ISBN1,Book1,1741538082,1741538087,5,0
S1,ISBN6,Book6,1741539548,1741539831,283,0
F1,ISBN7,Book7,1741539848,1741539863,15,0
F2,ISBN1,Book1,1741539941,1741539952,11,0
S1,ISBN1,Book1,1741540198,1741540221,0,0
F1,ISBN4,Book4,1741540250,1741540278,0,0
S1,ISBN6,Book6,1741694450,1741694505,0,0
